               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090218,             0.14827,            0.016231,             0.59761,            0.014624,            0.010863,           0.0024808,            0.070626,            0.056485,             0.01629,              0.0793,              0.0023,              0.0023
                   1,            0.086404,             0.13994,            0.010698,             0.53461,            0.032962,            0.012461,           0.0027469,            0.070021,            0.054967,            0.012886,            0.057684,           0.0046845,           0.0046845
                   2,            0.084128,             0.16761,           0.0085705,             0.16313,             0.21464,            0.095421,            0.019265,            0.063249,            0.043196,            0.016748,            0.036053,           0.0070531,           0.0070531
                   3,            0.079937,             0.20205,            0.012062,             0.20442,             0.22425,             0.14859,            0.037403,            0.059424,            0.039103,             0.01108,            0.014406,           0.0094059,           0.0094059
                   4,            0.081333,              0.1738,            0.010665,            0.099437,             0.13323,            0.034372,           0.0070642,            0.064011,            0.045116,             0.01363,            0.009868,            0.009868,            0.009868
                   5,            0.074596,             0.17565,           0.0099352,             0.15789,            0.099961,            0.065877,            0.016883,            0.068431,            0.047809,            0.010578,            0.009868,            0.009868,            0.009868
                   6,            0.076574,             0.19116,             0.01032,             0.11015,            0.034289,            0.025859,           0.0068795,            0.068957,            0.056568,            0.015385,            0.009835,            0.009835,            0.009835
                   7,            0.078576,             0.15921,           0.0096444,             0.16711,            0.043618,            0.037442,           0.0097221,            0.060643,            0.056027,            0.017306,            0.009802,            0.009802,            0.009802
                   8,            0.072586,             0.14757,            0.010017,             0.19864,             0.11297,            0.080734,            0.021072,            0.056247,            0.053813,            0.012063,            0.009769,            0.009769,            0.009769
                   9,            0.072622,             0.18276,            0.008609,             0.62595,             0.03273,            0.025129,           0.0074144,            0.063682,            0.099773,            0.016642,            0.009736,            0.009736,            0.009736
                  10,            0.071509,             0.15696,           0.0075682,              0.2111,            0.043408,            0.045931,            0.010893,            0.058374,            0.067744,            0.011633,            0.009703,            0.009703,            0.009703
                  11,            0.070936,             0.17375,            0.006808,             0.14308,            0.043845,            0.034484,           0.0092411,            0.056245,             0.11188,           0.0082153,             0.00967,             0.00967,             0.00967
                  12,            0.073305,             0.14575,           0.0077088,             0.29305,             0.33334,             0.20212,            0.045701,            0.055321,            0.054806,            0.007758,            0.009637,            0.009637,            0.009637
                  13,            0.075488,             0.14337,           0.0074671,             0.28036,             0.24824,             0.16612,            0.038379,            0.063239,            0.040676,           0.0057585,            0.009604,            0.009604,            0.009604
                  14,            0.071712,             0.12369,           0.0074393,              0.3709,              0.3561,             0.27604,            0.074243,            0.054552,            0.042502,            0.008182,            0.009571,            0.009571,            0.009571
                  15,            0.071202,             0.14911,           0.0073404,             0.46545,             0.40056,             0.33159,            0.088419,            0.052582,            0.038901,           0.0055489,            0.009538,            0.009538,            0.009538
                  16,            0.072547,             0.15025,           0.0046749,             0.51775,             0.39096,             0.35094,            0.095852,            0.054814,            0.036981,           0.0046095,            0.009505,            0.009505,            0.009505
                  17,              0.0709,             0.14908,           0.0069835,             0.57151,             0.33708,             0.32817,            0.091979,            0.056749,            0.041014,           0.0057911,            0.009472,            0.009472,            0.009472
                  18,            0.070502,             0.14968,           0.0064761,             0.29464,             0.19931,             0.17318,            0.052658,            0.060776,            0.048675,           0.0099152,            0.009439,            0.009439,            0.009439
                  19,            0.071919,             0.13181,           0.0048433,             0.24484,             0.11192,             0.11181,            0.032409,            0.063129,            0.062497,            0.011394,            0.009406,            0.009406,            0.009406
                  20,            0.073465,             0.12343,           0.0057431,             0.59567,             0.36201,             0.34914,            0.095503,            0.056022,            0.040438,           0.0028119,            0.009373,            0.009373,            0.009373
                  21,            0.069998,              0.1608,           0.0041631,             0.49415,             0.33343,             0.28374,            0.077765,            0.054712,            0.044593,           0.0052971,             0.00934,             0.00934,             0.00934
                  22,            0.071462,             0.13764,            0.004377,             0.52298,               0.362,              0.3141,             0.08183,            0.054674,            0.039939,            0.003224,            0.009307,            0.009307,            0.009307
                  23,            0.070334,             0.12578,           0.0042515,             0.52396,             0.40484,             0.34004,            0.095808,            0.053961,            0.040133,           0.0038899,            0.009274,            0.009274,            0.009274
                  24,            0.068405,             0.12053,           0.0043194,             0.41102,             0.35038,             0.28856,            0.073332,            0.054622,            0.041054,           0.0061358,            0.009241,            0.009241,            0.009241
                  25,            0.066764,             0.15387,           0.0041008,             0.26518,            0.076937,            0.071161,             0.01916,            0.051354,            0.043197,           0.0024801,            0.009208,            0.009208,            0.009208
                  26,            0.065638,             0.16893,           0.0034957,             0.49531,             0.45132,             0.39713,             0.11942,            0.050421,            0.039075,           0.0054396,            0.009175,            0.009175,            0.009175
                  27,            0.066505,             0.13901,           0.0043697,             0.48198,             0.36191,             0.34974,             0.10434,            0.051424,            0.038807,           0.0048581,            0.009142,            0.009142,            0.009142
                  28,            0.064601,             0.14807,           0.0038985,             0.49204,             0.42333,             0.36725,             0.11038,            0.050971,            0.040082,            0.004128,            0.009109,            0.009109,            0.009109
                  29,            0.064409,             0.14478,             0.00258,             0.47159,             0.36168,             0.34344,             0.10643,            0.051533,            0.038991,            0.012449,            0.009076,            0.009076,            0.009076
                  30,            0.065687,             0.14585,           0.0028978,             0.60945,             0.44672,             0.38628,             0.10555,            0.050541,            0.038415,           0.0025258,            0.009043,            0.009043,            0.009043
                  31,            0.068513,              0.1363,           0.0027248,             0.60583,             0.44384,             0.41741,             0.12093,            0.048791,            0.037628,           0.0018371,             0.00901,             0.00901,             0.00901
                  32,             0.06553,             0.15986,           0.0025051,             0.57769,             0.41609,              0.3744,             0.11311,            0.048637,            0.041422,            0.003543,            0.008977,            0.008977,            0.008977
                  33,            0.068314,             0.12446,           0.0023107,             0.63122,             0.41769,             0.39756,             0.12294,            0.049985,            0.040364,           0.0014555,            0.008944,            0.008944,            0.008944
                  34,            0.066711,             0.14008,           0.0028542,             0.52732,              0.3515,             0.32112,             0.10452,             0.05317,            0.041083,           0.0085765,            0.008911,            0.008911,            0.008911
                  35,            0.067478,             0.16009,            0.002179,             0.49059,             0.41461,             0.36286,            0.098643,            0.049139,             0.03865,           0.0041523,            0.008878,            0.008878,            0.008878
                  36,             0.06746,              0.1358,           0.0016932,             0.54413,             0.40489,               0.386,             0.11272,            0.049867,            0.037489,            0.003801,            0.008845,            0.008845,            0.008845
                  37,            0.065893,             0.15551,           0.0017788,             0.62749,             0.46039,             0.42022,             0.11948,            0.049763,            0.039632,           0.0014111,            0.008812,            0.008812,            0.008812
                  38,             0.06749,             0.12295,           0.0020717,             0.64791,             0.47632,             0.44642,             0.12311,            0.049385,            0.037564,           0.0013648,            0.008779,            0.008779,            0.008779
                  39,            0.066673,              0.1365,           0.0021978,             0.51908,             0.43192,             0.39132,             0.11216,            0.050704,            0.036852,           0.0023454,            0.008746,            0.008746,            0.008746
                  40,            0.066271,             0.15407,           0.0016322,             0.57866,             0.48006,             0.40004,             0.10972,            0.051314,             0.03915,           0.0017741,            0.008713,            0.008713,            0.008713
                  41,            0.065037,             0.15908,           0.0015616,             0.53347,             0.32247,             0.28105,            0.098829,            0.055337,            0.040986,            0.011121,             0.00868,             0.00868,             0.00868
                  42,            0.069539,             0.13361,           0.0013748,             0.61929,             0.46422,             0.43573,             0.13472,            0.047755,            0.036832,           0.0016064,            0.008647,            0.008647,            0.008647
                  43,            0.066655,             0.13208,           0.0030146,             0.61193,              0.4728,             0.43747,             0.13858,            0.051196,            0.036585,           0.0026997,            0.008614,            0.008614,            0.008614
                  44,            0.065586,             0.14874,           0.0020687,             0.57779,             0.46339,             0.41342,             0.12383,            0.048601,            0.037387,           0.0026764,            0.008581,            0.008581,            0.008581
                  45,            0.064761,             0.14216,            0.003286,             0.55414,             0.40252,             0.37739,             0.10415,            0.051959,            0.041429,           0.0023644,            0.008548,            0.008548,            0.008548
                  46,            0.064551,             0.13731,           0.0029011,             0.54739,             0.37468,             0.36875,             0.10529,            0.052388,            0.041929,           0.0045502,            0.008515,            0.008515,            0.008515
                  47,            0.065606,             0.14538,           0.0036077,             0.58144,             0.40546,             0.38113,             0.11361,            0.050657,            0.037503,           0.0056053,            0.008482,            0.008482,            0.008482
                  48,            0.067147,             0.13623,           0.0031454,             0.60474,             0.41168,             0.39298,             0.11534,            0.051093,            0.041439,           0.0039493,            0.008449,            0.008449,            0.008449
                  49,            0.062244,             0.12674,           0.0026964,             0.66348,             0.48107,             0.45305,             0.14042,            0.047875,            0.037047,           0.0024724,            0.008416,            0.008416,            0.008416
                  50,            0.065212,             0.12446,           0.0026041,             0.66417,             0.46286,             0.45919,             0.14106,            0.050501,            0.036713,           0.0016462,            0.008383,            0.008383,            0.008383
                  51,            0.064004,             0.14244,           0.0033931,             0.61745,              0.4793,              0.4357,             0.13588,            0.050014,            0.037748,           0.0013866,             0.00835,             0.00835,             0.00835
                  52,            0.064201,             0.14584,           0.0022107,             0.57875,             0.46963,             0.41907,             0.11814,            0.050071,            0.037802,           0.0029676,            0.008317,            0.008317,            0.008317
                  53,            0.064921,               0.152,            0.001907,             0.66065,             0.48322,             0.46139,             0.13888,            0.048639,            0.036663,           0.0016745,            0.008284,            0.008284,            0.008284
                  54,            0.062357,              0.1369,           0.0014366,             0.66995,             0.47348,             0.46497,             0.14633,            0.047951,            0.036244,           0.0018513,            0.008251,            0.008251,            0.008251
                  55,             0.06592,             0.13286,           0.0010634,             0.67943,             0.49846,             0.46306,             0.13582,            0.048347,            0.038191,            0.001213,            0.008218,            0.008218,            0.008218
                  56,            0.064363,             0.13256,           0.0013196,             0.65215,             0.47534,             0.45256,             0.12919,            0.048001,            0.036448,           0.0012302,            0.008185,            0.008185,            0.008185
                  57,            0.064723,             0.13967,           0.0018929,             0.60662,              0.4719,             0.42612,             0.11802,            0.048841,            0.038297,           0.0011045,            0.008152,            0.008152,            0.008152
                  58,            0.070279,             0.12335,           0.0018925,             0.61211,              0.4962,             0.45458,             0.13492,            0.047786,            0.036969,          0.00097689,            0.008119,            0.008119,            0.008119
                  59,            0.066045,             0.13574,           0.0017104,              0.5673,             0.48139,             0.43014,             0.13133,            0.051156,            0.036119,           0.0013191,            0.008086,            0.008086,            0.008086
                  60,            0.065605,             0.13284,           0.0015282,             0.62759,             0.47234,             0.44629,             0.13498,            0.050313,            0.037849,           0.0018052,            0.008053,            0.008053,            0.008053
                  61,            0.065881,             0.13622,           0.0011503,             0.62438,             0.50457,             0.46432,             0.13989,            0.049015,            0.036987,           0.0017777,             0.00802,             0.00802,             0.00802
                  62,            0.065247,             0.14425,           0.0013449,             0.69283,             0.51294,              0.4976,             0.16321,            0.047838,              0.0365,           0.0014438,            0.007987,            0.007987,            0.007987
                  63,             0.06522,             0.13726,          0.00070548,              0.6624,             0.49483,             0.47596,             0.14414,            0.048617,            0.035551,           0.0010601,            0.007954,            0.007954,            0.007954
                  64,            0.064062,             0.15463,          0.00085537,             0.62602,             0.49813,             0.45969,             0.13651,            0.048081,            0.036767,           0.0010105,            0.007921,            0.007921,            0.007921
                  65,             0.06509,             0.12512,           0.0011706,             0.64618,             0.48015,             0.46814,             0.14711,            0.047352,            0.037459,           0.0011305,            0.007888,            0.007888,            0.007888
                  66,            0.061746,             0.11855,           0.0012588,             0.70524,             0.48293,              0.4808,               0.151,            0.048106,            0.035746,           0.0009175,            0.007855,            0.007855,            0.007855
                  67,              0.0627,              0.1438,           0.0012826,             0.65721,             0.48426,             0.47482,             0.14214,            0.049315,            0.037689,          0.00067618,            0.007822,            0.007822,            0.007822
                  68,            0.063758,             0.14224,           0.0010277,             0.64927,             0.45504,             0.46622,             0.13656,            0.047348,            0.038557,           0.0008842,            0.007789,            0.007789,            0.007789
                  69,             0.06189,             0.13494,           0.0013662,             0.63787,             0.48166,             0.47301,             0.14683,            0.047385,            0.038998,          0.00090415,            0.007756,            0.007756,            0.007756
                  70,            0.065301,             0.13907,           0.0010534,             0.63265,             0.48671,             0.46674,             0.14242,            0.046761,            0.037744,           0.0012371,            0.007723,            0.007723,            0.007723
                  71,             0.06347,             0.13098,           0.0018076,             0.67805,             0.48891,             0.48074,             0.13778,             0.04591,             0.03723,          0.00085563,             0.00769,             0.00769,             0.00769
                  72,            0.062584,             0.13768,           0.0019032,             0.62352,              0.4715,             0.44652,             0.12571,            0.046918,             0.03717,           0.0008087,            0.007657,            0.007657,            0.007657
                  73,            0.063918,             0.15233,          0.00080538,             0.67594,             0.47759,             0.45625,             0.13448,            0.048109,            0.038237,          0.00099841,            0.007624,            0.007624,            0.007624
                  74,            0.063628,             0.12735,          0.00080927,             0.67155,             0.48863,             0.47083,             0.14049,            0.046836,            0.038501,            0.001223,            0.007591,            0.007591,            0.007591
                  75,            0.063062,             0.15153,          0.00098917,             0.63602,             0.47968,             0.45289,             0.13446,            0.048111,            0.038294,          0.00087092,            0.007558,            0.007558,            0.007558
                  76,            0.063675,             0.14714,           0.0010023,             0.63163,             0.46795,             0.44664,             0.13036,            0.048077,            0.038067,           0.0012121,            0.007525,            0.007525,            0.007525
                  77,            0.062373,             0.15256,           0.0010015,             0.67036,             0.49488,             0.47619,             0.14327,            0.048075,            0.037454,           0.0011157,            0.007492,            0.007492,            0.007492
                  78,            0.061317,              0.1488,          0.00082162,             0.67008,             0.48859,             0.47414,             0.14967,            0.048272,            0.039559,          0.00096146,            0.007459,            0.007459,            0.007459
                  79,            0.065429,             0.12776,           0.0010468,             0.67603,             0.49256,             0.47951,             0.15123,            0.046671,            0.037458,           0.0011269,            0.007426,            0.007426,            0.007426
                  80,            0.061338,             0.11885,           0.0016998,             0.64719,             0.48747,             0.46851,             0.14268,            0.047204,             0.03704,          0.00096036,            0.007393,            0.007393,            0.007393
                  81,            0.062541,             0.12008,           0.0020287,             0.66874,             0.50097,             0.49991,             0.15755,            0.046776,            0.037301,          0.00088354,             0.00736,             0.00736,             0.00736
                  82,            0.063007,             0.13758,           0.0010457,             0.68665,             0.50239,             0.49978,              0.1555,            0.044578,            0.036862,           0.0032474,            0.007327,            0.007327,            0.007327
                  83,            0.061424,             0.14022,           0.0010993,             0.63322,             0.47599,             0.46652,             0.13772,            0.045956,             0.03761,           0.0022727,            0.007294,            0.007294,            0.007294
                  84,            0.063976,              0.1574,          0.00087428,             0.67542,             0.49976,             0.48317,             0.14643,            0.046288,            0.037445,          0.00062893,            0.007261,            0.007261,            0.007261
                  85,            0.062396,             0.15212,          0.00069123,             0.61844,             0.49118,             0.46173,             0.12685,            0.046255,            0.037024,          0.00068162,            0.007228,            0.007228,            0.007228
                  86,             0.06269,             0.14116,          0.00074407,             0.65236,             0.50521,             0.48627,             0.15226,            0.046879,            0.037284,          0.00057978,            0.007195,            0.007195,            0.007195
                  87,            0.059147,             0.14973,           0.0010101,             0.66273,             0.50707,             0.50389,             0.15665,            0.047312,             0.03643,          0.00077278,            0.007162,            0.007162,            0.007162
                  88,            0.061006,             0.13649,           0.0012923,             0.63648,             0.51519,             0.49839,             0.14859,            0.049252,            0.037358,          0.00059755,            0.007129,            0.007129,            0.007129
                  89,            0.063557,             0.11925,          0.00074941,             0.63188,             0.51506,             0.48996,             0.15189,            0.048756,            0.037769,          0.00082614,            0.007096,            0.007096,            0.007096
                  90,            0.065191,             0.14173,          0.00098987,             0.67814,             0.49046,             0.49164,             0.15546,            0.048285,            0.038712,          0.00088245,            0.007063,            0.007063,            0.007063
                  91,            0.064347,             0.13428,           0.0010773,             0.63545,             0.48993,             0.46999,             0.14562,             0.04651,            0.038626,          0.00092313,             0.00703,             0.00703,             0.00703
                  92,            0.063881,             0.14482,          0.00086059,             0.68858,             0.49774,               0.505,             0.14684,            0.046715,            0.036704,          0.00064466,            0.006997,            0.006997,            0.006997
                  93,            0.061415,             0.14154,           0.0016129,             0.68488,             0.49139,             0.50841,             0.15489,             0.04619,            0.037329,          0.00086189,            0.006964,            0.006964,            0.006964
                  94,            0.059089,             0.13925,          0.00070678,             0.59459,             0.46217,             0.47667,             0.14765,            0.046474,            0.037335,            0.001537,            0.006931,            0.006931,            0.006931
                  95,            0.061301,             0.14938,           0.0011097,             0.65855,             0.49696,             0.50679,             0.16054,            0.044803,            0.037804,           0.0014142,            0.006898,            0.006898,            0.006898
                  96,            0.063042,              0.1528,           0.0010153,             0.65466,             0.50953,             0.50523,             0.15681,            0.046189,            0.037386,          0.00093826,            0.006865,            0.006865,            0.006865
                  97,            0.064772,             0.13026,          0.00075619,             0.69411,             0.51797,              0.5275,             0.16567,             0.04561,            0.036497,          0.00085234,            0.006832,            0.006832,            0.006832
                  98,            0.058042,             0.16638,          0.00097181,             0.62507,             0.48153,             0.46754,             0.13559,            0.046874,            0.037204,          0.00085992,            0.006799,            0.006799,            0.006799
                  99,            0.062315,             0.12997,           0.0018936,             0.67033,             0.51313,             0.49946,             0.15469,            0.048169,            0.037834,          0.00087523,            0.006766,            0.006766,            0.006766
                 100,            0.067223,             0.13236,          0.00099746,             0.64195,             0.48632,              0.4551,             0.13564,             0.04923,            0.038788,          0.00074803,            0.006733,            0.006733,            0.006733
                 101,            0.061278,             0.13785,          0.00091283,             0.64337,              0.5039,             0.46942,             0.13919,            0.047683,            0.039128,          0.00069939,              0.0067,              0.0067,              0.0067
                 102,             0.05881,             0.11451,           0.0017984,             0.63886,             0.49867,             0.47336,             0.13853,            0.047387,            0.037856,          0.00070106,            0.006667,            0.006667,            0.006667
                 103,            0.062482,             0.14276,          0.00075727,             0.64305,             0.49171,             0.47319,             0.14256,            0.048604,            0.037818,          0.00092802,            0.006634,            0.006634,            0.006634
                 104,            0.063438,             0.13558,          0.00072534,             0.68365,             0.51023,             0.49617,             0.15256,            0.049614,             0.03771,          0.00077006,            0.006601,            0.006601,            0.006601
                 105,            0.062989,             0.12806,          0.00084415,             0.63721,              0.4857,             0.46607,             0.14593,            0.046517,            0.038263,           0.0023895,            0.006568,            0.006568,            0.006568
                 106,            0.063543,             0.15185,           0.0010146,             0.63338,             0.50053,             0.46249,             0.14273,            0.048518,            0.040495,          0.00077498,            0.006535,            0.006535,            0.006535
                 107,            0.061195,             0.13855,          0.00054443,             0.68496,             0.50217,             0.49192,             0.15659,            0.047522,             0.03774,          0.00068757,            0.006502,            0.006502,            0.006502
                 108,            0.063286,             0.13165,          0.00055548,              0.6531,             0.51038,             0.48492,             0.14305,            0.047467,            0.037173,          0.00065552,            0.006469,            0.006469,            0.006469
                 109,            0.063293,             0.12897,          0.00075459,             0.66049,             0.48863,             0.47476,             0.14857,            0.046642,            0.037371,          0.00080557,            0.006436,            0.006436,            0.006436
                 110,            0.061064,             0.12335,           0.0004357,             0.67353,             0.47837,             0.48097,             0.15456,            0.047447,            0.039033,          0.00090677,            0.006403,            0.006403,            0.006403
                 111,            0.061758,             0.11798,          0.00056727,             0.70297,             0.49909,             0.50629,             0.15657,            0.047553,            0.037661,           0.0006002,             0.00637,             0.00637,             0.00637
                 112,             0.06219,             0.14284,          0.00039138,             0.71318,             0.52746,             0.52092,             0.16392,            0.047446,            0.036922,          0.00052327,            0.006337,            0.006337,            0.006337
                 113,            0.060777,              0.1483,          0.00062243,              0.7214,             0.51033,             0.51904,             0.16459,            0.047071,            0.037818,          0.00052718,            0.006304,            0.006304,            0.006304
                 114,            0.060224,             0.13242,          0.00066035,             0.65587,             0.49302,             0.49711,             0.15819,            0.047879,            0.038139,          0.00077596,            0.006271,            0.006271,            0.006271
                 115,            0.064372,             0.14211,           0.0011584,             0.69992,             0.50745,             0.50533,              0.1575,            0.047274,            0.037546,          0.00051808,            0.006238,            0.006238,            0.006238
                 116,            0.059398,             0.12355,          0.00055972,             0.68461,             0.48304,             0.47606,             0.14916,            0.046585,            0.037736,          0.00056673,            0.006205,            0.006205,            0.006205
                 117,            0.061584,             0.12395,          0.00086901,             0.70269,             0.49774,              0.4978,             0.15436,            0.046197,            0.037559,          0.00047904,            0.006172,            0.006172,            0.006172
                 118,            0.061291,             0.14447,          0.00056513,             0.64315,             0.49132,             0.47413,             0.14612,            0.047864,            0.036997,          0.00052483,            0.006139,            0.006139,            0.006139
                 119,            0.060553,             0.12987,          0.00066561,             0.71213,             0.50133,             0.51277,             0.16251,            0.047098,            0.038363,          0.00078184,            0.006106,            0.006106,            0.006106
                 120,             0.06372,             0.12362,          0.00097023,             0.70693,             0.49027,             0.51084,             0.15711,            0.047514,            0.039128,          0.00092441,            0.006073,            0.006073,            0.006073
                 121,            0.058948,             0.12797,          0.00065717,             0.71731,             0.52477,             0.52548,             0.16575,            0.046287,            0.037178,          0.00070977,             0.00604,             0.00604,             0.00604
                 122,            0.059356,             0.12847,          0.00058506,             0.65704,             0.47541,             0.49033,             0.15452,            0.047531,            0.037545,           0.0013554,            0.006007,            0.006007,            0.006007
                 123,            0.064439,             0.11866,          0.00055627,             0.67397,             0.50624,             0.50057,              0.1595,            0.047445,            0.037395,          0.00065364,            0.005974,            0.005974,            0.005974
                 124,            0.065079,              0.1372,          0.00074097,             0.69588,             0.52612,             0.50322,             0.16422,            0.047303,            0.037346,          0.00064568,            0.005941,            0.005941,            0.005941
                 125,            0.059093,             0.15367,           0.0005088,             0.66284,             0.50717,             0.49581,             0.15572,            0.047061,            0.037952,          0.00074066,            0.005908,            0.005908,            0.005908
                 126,            0.061398,              0.1231,           0.0013229,             0.67337,             0.46657,             0.48437,             0.15856,            0.046947,            0.041306,          0.00061976,            0.005875,            0.005875,            0.005875
                 127,            0.062038,             0.11581,          0.00037703,             0.63009,             0.43563,             0.45254,             0.14865,            0.047531,            0.041472,          0.00059712,            0.005842,            0.005842,            0.005842
                 128,            0.062483,             0.14173,          0.00051183,              0.7076,              0.5032,             0.50286,             0.15497,            0.047446,            0.038665,          0.00054681,            0.005809,            0.005809,            0.005809
                 129,            0.061987,             0.13006,          0.00048052,             0.69298,             0.49903,             0.51459,             0.16263,            0.046732,            0.036706,          0.00054559,            0.005776,            0.005776,            0.005776
                 130,            0.060713,             0.12164,          0.00071064,             0.71615,             0.50832,             0.51774,             0.16415,            0.046841,            0.036512,          0.00048008,            0.005743,            0.005743,            0.005743
                 131,            0.062925,             0.11641,          0.00045754,             0.71623,             0.50985,             0.52131,             0.16518,            0.047086,            0.036814,          0.00046936,             0.00571,             0.00571,             0.00571
                 132,             0.06085,              0.1259,          0.00032695,             0.69717,             0.50819,             0.51433,             0.15796,            0.045877,            0.037053,           0.0004556,            0.005677,            0.005677,            0.005677
                 133,             0.06221,             0.13057,          0.00072207,             0.72985,             0.50486,             0.54388,             0.17494,            0.045921,            0.037455,           0.0004466,            0.005644,            0.005644,            0.005644
                 134,            0.059954,             0.12668,          0.00044978,             0.70587,             0.51559,             0.52023,             0.15794,            0.046635,            0.036796,          0.00055787,            0.005611,            0.005611,            0.005611
                 135,            0.058784,             0.12256,           0.0011828,              0.6725,              0.5229,             0.51411,             0.15854,            0.046331,            0.038127,          0.00049589,            0.005578,            0.005578,            0.005578
                 136,            0.061509,             0.13546,          0.00043559,             0.69093,             0.52958,             0.52816,             0.16311,            0.044777,            0.037154,          0.00061377,            0.005545,            0.005545,            0.005545
                 137,            0.059868,             0.13154,          0.00039315,             0.71163,             0.49539,             0.52674,             0.16459,            0.046856,             0.03739,           0.0008403,            0.005512,            0.005512,            0.005512
